clover,canola,triticale,vetch,soil
0.015116170477149879,0.020238804299008737,0.012623963123338095,0.015498050255985827,0.02184687007648223
0.009719801262987958,0.013307094428141457,0.007402256798958793,0.009820380938771632,0.014020411351582062
0.008914078325004153,0.012211602589727893,0.0071251237555982495,0.009259561442163918,0.013136560411817383
0.007669347213480865,0.010993162311169681,0.00628235744265147,0.008165838966422881,0.011537019123346856
0.008101470897619294,0.01122570759043887,0.0066687975631421785,0.008696139891102156,0.011864489726806513
0.007240123668462302,0.010129395977636667,0.0060863789901221136,0.007961049479455858,0.010997282671529302
0.007695270742263719,0.010541345893937083,0.0065081078096038145,0.008426543639867298,0.011285317963786016
0.006688520722462176,0.009103290669902075,0.005709915914827649,0.007402411327479716,0.00985643406501496
0.006767570980331289,0.0092484286699833,0.005971146422824912,0.007663985717411148,0.009899426174423867
0.006265045243457275,0.00859014437354249,0.0055634258770363935,0.007176556868627271,0.00924340015313834
0.006855405915843304,0.009248181930392221,0.006199755407512417,0.007862361586170628,0.009801215146283376
0.007265788074856025,0.0101207430195489,0.006715922649453906,0.008487831152888026,0.010490578526337318
0.007676783555187386,0.01072943966180819,0.007396979789352501,0.008997908302070862,0.011043502917599304
0.007509277105486796,0.010557909327843555,0.007337069899117598,0.00881911111467587,0.010801969957424714
0.007560463774170285,0.010632953704662475,0.007421630857416352,0.0089054347842903,0.010820900037666685
0.007776522004733616,0.011351379245201298,0.007797666233711347,0.009268228490760363,0.011374622253686057
0.00824302875680669,0.011857229889945418,0.008334000313194223,0.009609076168875755,0.011777301045864849
0.008230041163934165,0.012095122991627776,0.008360169204203596,0.00962887940550567,0.01183282175924272
0.008187488686759331,0.012221618021878789,0.008594720022215176,0.00970762605124263,0.011845208545414961
0.007857447808302154,0.011922569391408561,0.008237476557912644,0.009326923288682587,0.011501940629133345
0.007857219643650153,0.011648333076991983,0.00819102668088445,0.009198471332944602,0.011379840289293246
0.008015273621741892,0.011979764623238234,0.008346370384108508,0.00935571714915809,0.011687147292332957
